feature,enable,disable
silent-rules,--enable-silent-rules,--disable-silent-rules
silent-rules,--enable-silent-rules,--disable-silent-rules
dependency-tracking,--enable-dependency-tracking,--disable-dependency-tracking
dependency-tracking,--enable-dependency-tracking,--disable-dependency-tracking
shared,--enable-shared,--disable-shared
static,--enable-static,--disable-static
fast-install,--enable-fast-install,--disable-fast-install
libtool-lock,--enable-libtool-lock,--disable-libtool-lock
dtls,--enable-dtls,--disable-dtls
gcov,--enable-gcov,--disable-gcov
